main_activity,clustered,tilt_subsector
missing,wines sicily,Food Related Products
missing,syrah,Food Related Products
missing,gamay,Food Related Products
missing,banquet service,Food Related Products
missing,sewing machine repairs,Other Industry
missing,sewing machines,Other Industry
missing,summer boarding,Machinery & Equipment
missing,cellulose,Other Industry
missing,compressed cardboard,Other Industry
missing,business centres,Machinery & Equipment
missing,furnished office services,Machinery & Equipment
missing,"paper, synthetic fibre",Other Industry
missing,chemical extracts for perfumes,Food Related Products
missing,chemical extracts cosmetics,Food Related Products
missing,wash resistant labels,Other Industry
missing,agricultural canvas,Food Related Products
missing,agricultural nets,Food Related Products
missing,flats,Machinery & Equipment
missing,property insurance,Machinery & Equipment
missing,rooms with direct phone line,Machinery & Equipment
missing,rooms with bathtub,Machinery & Equipment
missing,laundry available,Machinery & Equipment
missing,tv room available,Machinery & Equipment
missing,money changing service,Machinery & Equipment
missing,tourist entertainment,Machinery & Equipment
missing,travel escort service,Machinery & Equipment
missing,disposable razors,Agriculture & Livestock
missing,anisette liquors,Food Related Products
missing,aerial passenger transport,Other Transport
missing,passenger transport by aerotaxi,Other Transport
retailer,passenger transport by aerotaxi,Other Transport
missing,every type of beach umbrella,Fishing & Forestry
missing,assorted cream pastries,Food Related Products
missing,restaurants with piano bar,Fishing & Forestry
missing,binoculars,Fishing & Forestry
missing,emergency unit,Aviation
missing,ambulance aircraft,Aviation
missing,adr advice,Other Transport
missing,prefabricated products,Construction Buildings
missing,planking,Fishing & Forestry
missing,ash,Fishing & Forestry
missing,furniture for decorating,Fishing & Forestry
retailer,furniture for decorating,Food Related Products
missing,veneered baseboards,Fishing & Forestry
missing,mosaic indoor flooring for industrial buildings,Construction Residential
missing,jets,Other Transport
missing,scenic flights,Other Transport
missing,floor-mounted radiant panels,Renewable Energy
missing,flounder,Fishing & Forestry
missing,teak furniture,Fishing & Forestry
missing,greek feta,Food Related Products
missing,shorts,Food Related Products
missing,hard disks,Other Industry
missing,golden agaric,Agriculture & Livestock
missing,private car park,Construction Buildings
missing,pool,Renewable Energy
missing,suction,Renewable Energy
missing,boilers for home use,Renewable Energy
missing,ferric chloride,Other Industry
missing,market surveys,Other Transport
missing,refresher centers for company. employees,Other Transport
missing,requalification centres for company employees,Other Transport
missing,software for hotels,no_match
missing,patent utilization,Oil Energy
missing,gas-fired boiler installation,Machinery & Equipment
missing,ventilation ducts,Machinery & Equipment
missing,butane,Oil Energy
agent/ representative,caustic soda,Food Related Products
missing,reloading place storage place forwarding,Other Transport
missing,order job truck,Other Transport
missing,complete woodworking lines,Machinery & Equipment
missing,ripping machines,Machinery & Equipment
missing,furniture - second-hand,Machinery & Equipment
missing,new,Machinery & Equipment
missing,propellers for motors,Shipping
missing,oe car parts,Automotive LDV
missing,bike carrier,Automotive LDV
missing,caskets,Automotive LDV
missing,evaluation surveys,Automotive LDV
missing,telescopic aerial platforms for goods lifting,Machinery & Equipment
missing,elevator hire,Machinery & Equipment
missing,"receptionists, office",Other Transport
missing,crane trucks for building,Other Transport
missing,polyamides,Agriculture & Livestock
missing,draw springs,Automotive LDV
missing,clutch plates,Automotive LDV
missing,helicoidal gears,Automotive LDV
missing,bevel gear pairs for transmissions,Automotive LDV
missing,saddles,Automotive LDV
missing,balancing,Automotive LDV
missing,brake repair,Automotive LDV
missing,detective agency,no_match
missing,small parts in plastic,Other Metals
missing,computer security consulting service,Total Energy
missing,rat repellents,Construction Buildings
missing,industrial controls,Other Industry
subcontractor,mechanical bending press for sheet metal,Iron & Steel
subcontractor,stainless steel sheet bending,Iron & Steel
subcontractor,burnishing,Iron & Steel
subcontractor,titanium alloy,Iron & Steel
subcontractor,furniture disassembly,Iron & Steel
subcontractor,furniture reassembly,Iron & Steel
subcontractor,devices of meadow piece,Iron & Steel
subcontractor,devices of post treatment piece,Iron & Steel
subcontractor,non-destructive control,Iron & Steel
subcontractor,scratch-resistant steel,Iron & Steel
subcontractor,steel injection moulds for plastics,Iron & Steel
subcontractor,heat dissipators,Iron & Steel
subcontractor,metal cutting machine tool maintenance,Iron & Steel
subcontractor,overhauling machine tools for cutting metals,Iron & Steel
subcontractor,electronic cards,Iron & Steel
subcontractor,goods repacking,Iron & Steel
subcontractor,customised tube cutting,Iron & Steel
subcontractor,anodized plates,Iron & Steel
subcontractor,uniforms made up to order,Iron & Steel
subcontractor,telecommunications operating,Total Power
subcontractor,kitchen improvements,Construction Residential
subcontractor,living-room improvements,Construction Residential
subcontractor,painting of blinds,Construction Residential
subcontractor,kitchen make overs,Construction Residential
subcontractor,bouw,Construction Residential
subcontractor,covering in zinc,Construction Residential
subcontractor,insulating joinery,Construction Residential
subcontractor,auto trailers,Other Transport
subcontractor,air-brushes,Construction Buildings
subcontractor,mixing concrete,Construction Buildings
retailer,mixing concrete,Construction Buildings
subcontractor,metal shelves,Machinery & Equipment
subcontractor,investment analysis,Other Transport
subcontractor,search for sponsors,Other Transport
subcontractor,money transfer,Other Transport
subcontractor,micro plastic injection,Iron & Steel
subcontractor,die cast steel factory,Iron & Steel
subcontractor,metal collection,Agriculture & Livestock
subcontractor,aluminium roof covering,Construction Residential
subcontractor,pos marketing,Other Transport
subcontractor,foodstuff tank,Other Transport
subcontractor,liquids bulk transport,Other Transport
subcontractor,sub-horizontal draining,Total Energy
subcontractor,coloured mortars,Construction Residential
subcontractor,building demolition,Construction Buildings
subcontractor,curtain making,Machinery & Equipment
subcontractor,creased curtains,Machinery & Equipment
subcontractor,electrotechnical wiring,Machinery & Equipment
subcontractor,internal laboratory research dept,no_match
subcontractor,internal laboratory development dept,no_match
subcontractor,full service,no_match
subcontractor,web designer,Total Energy
subcontractor,heat roof,Construction Buildings
multi-category,strainers to order,Iron & Steel
multi-category,mirror polish,Iron & Steel
multi-category,working of stone,Iron & Steel
multi-category,recycled glass work,Iron & Steel
multi-category,lamellar disks,Iron & Steel
multi-category,burglar alarm system,Fishing & Forestry
multi-category,aluminium milling,Other Metals
multi-category,clamping parts,Other Metals
multi-category,pure alcohol,Construction Residential
multi-category,custom glasses,Construction Residential
agent/ representative,bath towels,Other Industry
multi-category,electrotechnical cords,Iron & Steel
multi-category,cut thin metal sheets,Iron & Steel
multi-category,finance company loans for businesses,Automotive HDV
multi-category,antennas for mobile communications,Automotive HDV
multi-category,open space wall,Construction Buildings
multi-category,pricing guns,Other Industry
multi-category,school textbooks,Other Industry
multi-category,seeling books,Other Industry
multi-category,goods lift repairs,Machinery & Equipment
multi-category,rain water treatment,Other Industry
multi-category,filleting machines,Machinery & Equipment
retailer,filleting machines,Iron & Steel
multi-category,stretcher lifts,Machinery & Equipment
multi-category,wooden steering wheels,Construction Residential
multi-category,electric fences,Construction Residential
multi-category,design of electric barriers,Construction Residential
multi-category,drive-in shelving for warehousing,Iron & Steel
multi-category,sun blinds,Construction Residential
multi-category,defibrillators,Machinery & Equipment
multi-category,metal strip coating,Other Industry
multi-category,silicone belts,Other Industry
multi-category,ptfe tapes,Other Industry
multi-category,dosing system,Other Transport
multi-category,flow controller,Other Transport
multi-category,flow computer,Other Transport
multi-category,mixing system,Other Transport
multi-category,micro dosing pumps,Other Transport
multi-category,pid controller,Other Transport
multi-category,flow regulation,Other Transport
multi-category,industrial wheels,Iron & Steel
multi-category,"vacuum flasks, industrial",Food Related Products
multi-category,plastic-capped aluminium bottles,Food Related Products
multi-category,screw covers,Other Metals
multi-category,plastic fasteners,Other Metals
multi-category,breakers,Other Transport
multi-category,catering wines,Food Related Products
multi-category,custom-design jewellery,Food Related Products
multi-category,van tyres,Automotive LDV
multi-category,motorcycle tyre pumps,Automotive LDV
multi-category,special gases,Agriculture & Livestock
multi-category,special products,Agriculture & Livestock
multi-category,cotton handbags,Other Industry
multi-category,copper bottle,Other Industry
multi-category,inkjet cartridges,Other Industry
multi-category,platens,Other Transport
multi-category,double side pcb,Other Transport
multi-category,fresh algae,Fishing & Forestry
multi-category,"dumpers, traditional",Other Transport
multi-category,"dumpers, special",Other Transport
multi-category,platform scale with stainless steel surface,Other Transport
multi-category,articles for sculpture,Fishing & Forestry
multi-category,hollow balls,Fishing & Forestry
multi-category,pp spunbond,Agriculture & Livestock
multi-category,pet spunbond,Agriculture & Livestock
multi-category,pla,Agriculture & Livestock
multi-category,hemp nonwoven,Agriculture & Livestock
multi-category,stoneliner,Agriculture & Livestock
multi-category,melt-blown,Agriculture & Livestock
multi-category,needle punched,Agriculture & Livestock
multi-category,weed control fabric,Agriculture & Livestock
multi-category,fragances,Oil Energy
multi-category,vegetable sachets,Food Related Products
multi-category,cheese refining,Food Related Products
multi-category,thermostatic valves,Machinery & Equipment
multi-category,safety mat,Automotive LDV
multi-category,safety bumpers,Automotive LDV
multi-category,risk of collision,Automotive LDV
multi-category,forklift truck safety,Automotive LDV
multi-category,management system for fleets,Automotive LDV
multi-category,modular machine insulation,Automotive LDV
multi-category,dredges for digging,Food Related Products
multi-category,dredges for cleaning ports,Food Related Products
multi-category,dredges for cleaning canals,Food Related Products
